key	action	score	old_doi	new_doi	old_url	new_url	old_venue	new_venue	reason
p15_lu2023_llama_reviewer	upgraded	1.000	10.1109/issre59848.2023.00026	10.1109/issre59848.2023.00026	http://dx.doi.org/10.1109/issre59848.2023.00026	https://doi.org/10.1109/issre59848.2023.00026	2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE)	2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE)	title=1.00; year=0.04; authors=0.08; published=0.10
p17_lin2025_codereviewqa	upgraded	1.000	10.18653/v1/2025.findings-acl.476	10.18653/v1/2025.findings-acl.476	http://dx.doi.org/10.18653/v1/2025.findings-acl.476	https://doi.org/10.18653/v1/2025.findings-acl.476	Findings of the Association for Computational Linguistics: ACL 2025	Findings of the Association for Computational Linguistics: ACL 2025	title=1.00; year=0.04; authors=0.10; published=0.10
p19_nguyen2025_fine_grained_classification	candidate_below_threshold	0.726	10.1109/scam67354.2025.00012	10.18653/v1/2024.findings-naacl.246	http://dx.doi.org/10.1109/scam67354.2025.00012	https://doi.org/10.18653/v1/2024.findings-naacl.246	2025 IEEE International Conference on Source Code Analysis \& Manipulation (SCAM)		title=0.56; year=0.04; authors=0.03; published=0.10
p20_hong2025_rag_reviewer	candidate_below_threshold	0.850	10.48550/arXiv.2506.11591	10.1145/3643795.3648384	[2506.11591] Retrieval-Augmented Code Review Comment Generation	https://doi.org/10.1145/3643795.3648384	arXiv		title=0.71; year=0.04; authors=0.00; published=0.10
p21_peng2025_icodereviewer	upgraded	1.000	10.1109/ase63991.2025.00264	10.1109/ase63991.2025.00264	http://dx.doi.org/10.1109/ase63991.2025.00264	https://doi.org/10.1109/ase63991.2025.00264	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	title=1.00; year=0.04; authors=0.10; published=0.10
p22_jaoua2025_static_analyzers	upgraded	1.000	10.1109/msr66628.2025.00038	10.1109/msr66628.2025.00038	http://dx.doi.org/10.1109/msr66628.2025.00038	https://doi.org/10.1109/msr66628.2025.00038	2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)	2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)	title=1.00; year=0.04; authors=0.10; published=0.10
p23_lin2026_reviewer_experience	upgraded	1.000	10.1145/3762183	10.1145/3762183	http://dx.doi.org/10.1145/3762183	https://doi.org/10.1145/3762183	ACM Transactions on Software Engineering and Methodology	ACM Transactions on Software Engineering and Methodology	title=1.00; year=0.04; authors=0.10; published=0.10
p24_bensghaier2025_reward_models	candidate_below_threshold	0.447	10.48550/arXiv.2506.04464	10.1016/j.leaqua.2018.03.001	https://arxiv.org/abs/2506.04464	https://doi.org/10.1016/j.leaqua.2018.03.001	arXiv preprint	The Leadership Quarterly	title=0.40; year=-0.05; authors=0.00; published=0.10
p26_zhong2026_human_ai_synergy	candidate_below_threshold	0.411	10.48550/arXiv.2603.15911	10.1017/s0140525x12000477	[2603.15911] Human-AI Synergy in Agentic Code Review	https://doi.org/10.1017/s0140525x12000477	arXiv	Behavioral and Brain Sciences	title=0.36; year=-0.05; authors=0.00; published=0.10
p31_jiang2025_codejudgebench	upgraded	1.000	10.48448/BBRY-E684	10.48448/bbry-e684	https://underline.io/lecture/149657-codejudgebench-benchmarking-llm-as-a-judge-for-coding-tasks	https://doi.org/10.48448/bbry-e684		Underline Science Inc.	title=1.00; year=0.04; authors=0.08; published=0.10
p32_zhao2026_bias_loop	candidate_below_threshold	0.591	10.48550/arXiv.2604.16790	10.18653/v1/2025.emnlp-main.138	https://arxiv.org/abs/2604.16790	https://doi.org/10.18653/v1/2025.emnlp-main.138	arXiv / TOSEM draft metadata in PDF		title=0.42; year=0.04; authors=0.03; published=0.10
p35_mcaleese2024_llm_critics	candidate_below_threshold	0.501	10.48550/arXiv.2407.00215	10.4230/oasics.icpec.2025.4	[2407.00215] LLM Critics Help Catch LLM Bugs	https://doi.org/10.4230/oasics.icpec.2025.4	arXiv	arXiv (Cornell University)	title=0.36; year=0.04; authors=0.00; published=0.10
p36_li2024_llms_as_judges	candidate_below_threshold	0.648	10.48550/arXiv.2412.05579	10.1007/s11704-024-40231-1	https://arxiv.org/abs/2412.05579	https://doi.org/10.1007/s11704-024-40231-1	arXiv	Frontiers of Computer Science	title=0.50; year=0.04; authors=0.01; published=0.10
p45_zheng2023_code_llm_survey	candidate_below_threshold	0.722	10.48550/arXiv.2311.10372	10.1007/s11704-024-40231-1	https://arxiv.org/abs/2311.10372	https://doi.org/10.1007/s11704-024-40231-1	arXiv	Frontiers of Computer Science	title=0.53; year=0.04; authors=0.05; published=0.10
p46_zhou2025_vulnerability_repair	upgraded	1.000	10.1145/3708522	10.1145/3708522	http://dx.doi.org/10.1145/3708522	https://doi.org/10.1145/3708522	ACM Transactions on Software Engineering and Methodology	ACM Transactions on Software Engineering and Methodology	title=1.00; year=0.04; authors=0.10; published=0.10
p50_peng2025_coffe	upgraded	1.000	10.1145/3715727	10.1145/3715727	http://dx.doi.org/10.1145/3715727	https://doi.org/10.1145/3715727	Proceedings of the ACM on Software Engineering	Proceedings of the ACM on software engineering.	title=1.00; year=0.04; authors=0.10; published=0.10
p51_davila2021_mcr_slr_taxonomy	upgraded	1.000	10.1016/j.jss.2021.110951	10.1016/j.jss.2021.110951	http://dx.doi.org/10.1016/j.jss.2021.110951	https://doi.org/10.1016/j.jss.2021.110951	Journal of Systems and Software	Journal of Systems and Software	title=1.00; year=0.04; authors=0.10; published=0.10
p52_tufano2021_automating_code_review_activities	upgraded	1.000	10.1109/icse43902.2021.00027	10.1109/icse43902.2021.00027	http://dx.doi.org/10.1109/icse43902.2021.00027	https://doi.org/10.1109/icse43902.2021.00027	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	title=1.00; year=0.04; authors=0.10; published=0.10
p53_tufano2024_code_review_automation_strengths_weaknesses	upgraded	1.000	10.1109/tse.2023.3348172	10.1109/tse.2023.3348172	http://dx.doi.org/10.1109/tse.2023.3348172	https://doi.org/10.1109/tse.2023.3348172	IEEE Transactions on Software Engineering	IEEE Transactions on Software Engineering	title=1.00; year=0.04; authors=0.10; published=0.10
p54_pereira2026_crbench	candidate_below_threshold	0.547	10.48550/arXiv.2603.11078	10.1145/3696630.3728552	https://arxiv.org/abs/2603.11078	https://doi.org/10.1145/3696630.3728552	arXiv preprint		title=0.41; year=0.04; authors=0.00; published=0.10
p55_cihan2025_acr_practice	upgraded	1.000	10.1109/icse-seip66354.2025.00043	10.1109/icse-seip66354.2025.00043	http://dx.doi.org/10.1109/icse-seip66354.2025.00043	https://doi.org/10.1109/icse-seip66354.2025.00043	2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)	2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)	title=1.00; year=0.04; authors=0.10; published=0.10
p56_alami2025_human_machine	upgraded	1.000	10.1109/chase66643.2025.00016	10.1109/chase66643.2025.00016	http://dx.doi.org/10.1109/chase66643.2025.00016	https://doi.org/10.1109/chase66643.2025.00016	2025 IEEE/ACM 18th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE)	2025 IEEE/ACM 18th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE)	title=1.00; year=0.04; authors=0.10; published=0.10
p57_heumuller2025_relevance_reviews	candidate_below_threshold	0.399	10.48550/arXiv.2512.15466	10.1007/s12559-023-10179-8	https://arxiv.org/abs/2512.15466	https://doi.org/10.1007/s12559-023-10179-8	arXiv preprint	Cognitive Computation	title=0.35; year=-0.05; authors=0.00; published=0.10
p58_jin2026_reliable_code_reviewers	no_published_candidate		10.21203/rs.3.rs-8993044/v1		http://dx.doi.org/10.21203/rs.3.rs-8993044/v1				openalex error: HTTP Error 400: Bad Request
p59_caglar2026_human_cr_classification	candidate_below_threshold	0.686	10.6084/M9.FIGSHARE.31073632.V1	10.1145/3501385.3543957	https://figshare.com/articles/conference_contribution/Automated_Classification_of_Human_Code_Review_Comments_with_Large_Language_Models/31073632/1	https://doi.org/10.1145/3501385.3543957		arXiv (Cornell University)	title=0.64; year=-0.05; authors=0.00; published=0.10
p60_ahmed2025_feedback_useful	no_published_candidate		10.1007/s10664-025-10617-1		http://dx.doi.org/10.1007/s10664-025-10617-1		Empirical Software Engineering		openalex error: HTTP Error 400: Bad Request
p62_khare2025_deputydev	no_published_candidate		10.48550/arXiv.2508.09676		https://arxiv.org/abs/2508.09676		arXiv preprint		no candidate
p63_mitropoulos2026_confirmation_bias	candidate_below_threshold	0.545	10.48550/arXiv.2603.18740	10.1145/3774324	https://arxiv.org/abs/2603.18740	https://doi.org/10.1145/3774324	arXiv preprint	ACM Computing Surveys	title=0.40; year=0.04; authors=0.00; published=0.10
p64_thornton2026_adversarial_comments	upgraded	1.000	10.48550/arxiv.2602.16741	10.48550/arxiv.2602.16741	https://arxiv.org/abs/2602.16741	https://arxiv.org/abs/2602.16741	Open MIND	Open MIND	title=1.00; year=0.04; authors=0.10; published=0.10
p65_ameen2026_qasecclaw	no_published_candidate		10.48550/arXiv.2605.01885		https://arxiv.org/abs/2605.01885		arXiv preprint		no candidate
p66_khan2026_code_review_benchmarks_survey	candidate_below_threshold	0.493	10.48550/arxiv.2602.13377	10.1007/s11704-026-60308-3	https://arxiv.org/abs/2602.13377	https://doi.org/10.1007/s11704-026-60308-3	Open MIND	Frontiers of Computer Science	title=0.28; year=0.04; authors=0.08; published=0.10
p68_li2025_cotdeceptor	no_published_candidate		10.48550/arXiv.2512.21250		https://arxiv.org/abs/2512.21250		arXiv preprint		no candidate
p69_jiang2025_deep_assessment_crg	candidate_below_threshold	0.592	10.48550/arXiv.2501.05176	10.1086/662127	https://arxiv.org/abs/2501.05176	https://doi.org/10.1086/662127	arXiv preprint	Current Anthropology	title=0.54; year=-0.05; authors=0.00; published=0.10
p70_guo2023_chatgpt_code_refinement	upgraded	1.000	10.1145/3597503.3623306	10.1145/3597503.3623306	http://dx.doi.org/10.1145/3597503.3623306	https://doi.org/10.1145/3597503.3623306	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering	title=1.00; year=0.04; authors=0.10; published=0.10
p71_caumartin2024_llama_code_refinement	upgraded	1.000	10.1109/saner64311.2025.00070	10.1109/saner64311.2025.00070	http://dx.doi.org/10.1109/saner64311.2025.00070	https://doi.org/10.1109/saner64311.2025.00070	2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	title=1.00; year=0.04; authors=0.10; published=0.10
p72_centellas_claros2026_rethinking_training_data_for_g	candidate_below_threshold	0.538		10.1111/j.1460-2466.1996.tb01475.x	https://arxiv.org/abs/2607.25851v1	https://doi.org/10.1111/j.1460-2466.1996.tb01475.x		Journal of Communication	title=0.49; year=-0.05; authors=0.00; published=0.10
p73_gao2026_evaluating_the_impact_of_expla	candidate_below_threshold	0.588		10.1145/3313831.3376590	https://arxiv.org/abs/2607.24601v1	https://doi.org/10.1145/3313831.3376590		arXiv (Cornell University)	title=0.54; year=-0.05; authors=0.00; published=0.10
p74_charoenwet2026_agentic_code_review_in_the_ter	candidate_below_threshold	0.412		10.1109/access.2019.2909530	https://arxiv.org/abs/2607.16740v1	https://doi.org/10.1109/access.2019.2909530		IEEE Access	title=0.36; year=-0.05; authors=0.00; published=0.10
p76_wang2026_swe_review_closing_the_loop_on	candidate_below_threshold	0.508		10.1007/s11704-026-60308-3	https://arxiv.org/abs/2607.06065v1	https://doi.org/10.1007/s11704-026-60308-3		Frontiers of Computer Science	title=0.32; year=0.04; authors=0.04; published=0.10
m07_angelgonzalezprieto2020	candidate_below_threshold	0.444	10.48550/arXiv.2008.00977	10.1057/s41599-020-0412-9	https://arxiv.org/abs/2008.00977	https://doi.org/10.1057/s41599-020-0412-9	arXiv preprint / empirical SE qualitative reliability	Humanities and Social Sciences Communications	title=0.30; year=0.04; authors=0.00; published=0.10
p04_kumar2026_swe_prbench	no_published_candidate		10.48550/arXiv.2603.26130		https://arxiv.org/abs/2603.26130		arXiv preprint / dataset		no candidate
p05_zeng2025_swrbench	no_published_candidate		10.48550/arXiv.2509.01494		https://arxiv.org/abs/2509.01494		arXiv preprint / benchmark		no candidate
p07_olewicki2024_revmate	candidate_below_threshold	0.681	10.48550/arXiv.2411.07091	10.18653/v1/2024.eacl-long.5	https://arxiv.org/abs/2411.07091	https://doi.org/10.18653/v1/2024.eacl-long.5	arXiv preprint / Mozilla \& Ubisoft user study		title=0.54; year=0.04; authors=0.00; published=0.10
p13_haider2024_prompting_finetuning	candidate_below_threshold	0.770	10.48550/arXiv.2411.10129	10.1016/j.infsof.2024.107523	[2411.10129] Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation	https://doi.org/10.1016/j.infsof.2024.107523	arXiv	Information and Software Technology	title=0.63; year=0.04; authors=0.00; published=0.10
p19_nguyen2025_fine_grained_classification	candidate_below_threshold	0.726	10.1109/scam67354.2025.00012	10.18653/v1/2024.findings-naacl.246	http://dx.doi.org/10.1109/scam67354.2025.00012	https://doi.org/10.18653/v1/2024.findings-naacl.246	2025 IEEE International Conference on Source Code Analysis \& Manipulation (SCAM)		title=0.56; year=0.04; authors=0.03; published=0.10
p20_hong2025_rag_reviewer	candidate_below_threshold	0.850	10.48550/arXiv.2506.11591	10.1145/3643795.3648384	[2506.11591] Retrieval-Augmented Code Review Comment Generation	https://doi.org/10.1145/3643795.3648384	arXiv		title=0.71; year=0.04; authors=0.00; published=0.10
p24_bensghaier2025_reward_models	candidate_below_threshold	0.447	10.48550/arXiv.2506.04464	10.1016/j.leaqua.2018.03.001	https://arxiv.org/abs/2506.04464	https://doi.org/10.1016/j.leaqua.2018.03.001	arXiv preprint	The Leadership Quarterly	title=0.40; year=-0.05; authors=0.00; published=0.10
p26_zhong2026_human_ai_synergy	candidate_below_threshold	0.411	10.48550/arXiv.2603.15911	10.1017/s0140525x12000477	[2603.15911] Human-AI Synergy in Agentic Code Review	https://doi.org/10.1017/s0140525x12000477	arXiv	Behavioral and Brain Sciences	title=0.36; year=-0.05; authors=0.00; published=0.10
p32_zhao2026_bias_loop	candidate_below_threshold	0.591	10.48550/arXiv.2604.16790	10.18653/v1/2025.emnlp-main.138	https://arxiv.org/abs/2604.16790	https://doi.org/10.18653/v1/2025.emnlp-main.138	arXiv / TOSEM draft metadata in PDF		title=0.42; year=0.04; authors=0.03; published=0.10
p35_mcaleese2024_llm_critics	candidate_below_threshold	0.501	10.48550/arXiv.2407.00215	10.4230/oasics.icpec.2025.4	[2407.00215] LLM Critics Help Catch LLM Bugs	https://doi.org/10.4230/oasics.icpec.2025.4	arXiv	arXiv (Cornell University)	title=0.36; year=0.04; authors=0.00; published=0.10
p36_li2024_llms_as_judges	candidate_below_threshold	0.648	10.48550/arXiv.2412.05579	10.1007/s11704-024-40231-1	https://arxiv.org/abs/2412.05579	https://doi.org/10.1007/s11704-024-40231-1	arXiv	Frontiers of Computer Science	title=0.50; year=0.04; authors=0.01; published=0.10
p45_zheng2023_code_llm_survey	candidate_below_threshold	0.722	10.48550/arXiv.2311.10372	10.1007/s11704-024-40231-1	https://arxiv.org/abs/2311.10372	https://doi.org/10.1007/s11704-024-40231-1	arXiv	Frontiers of Computer Science	title=0.53; year=0.04; authors=0.05; published=0.10
p54_pereira2026_crbench	candidate_below_threshold	0.547	10.48550/arXiv.2603.11078	10.1145/3696630.3728552	https://arxiv.org/abs/2603.11078	https://doi.org/10.1145/3696630.3728552	arXiv preprint		title=0.41; year=0.04; authors=0.00; published=0.10
p57_heumuller2025_relevance_reviews	candidate_below_threshold	0.399	10.48550/arXiv.2512.15466	10.1007/s12559-023-10179-8	https://arxiv.org/abs/2512.15466	https://doi.org/10.1007/s12559-023-10179-8	arXiv preprint	Cognitive Computation	title=0.35; year=-0.05; authors=0.00; published=0.10
p58_jin2026_reliable_code_reviewers	no_published_candidate		10.21203/rs.3.rs-8993044/v1		http://dx.doi.org/10.21203/rs.3.rs-8993044/v1				openalex error: HTTP Error 400: Bad Request
p59_caglar2026_human_cr_classification	candidate_below_threshold	0.686	10.6084/M9.FIGSHARE.31073632.V1	10.1145/3501385.3543957	https://figshare.com/articles/conference_contribution/Automated_Classification_of_Human_Code_Review_Comments_with_Large_Language_Models/31073632/1	https://doi.org/10.1145/3501385.3543957		arXiv (Cornell University)	title=0.64; year=-0.05; authors=0.00; published=0.10
p60_ahmed2025_feedback_useful	no_published_candidate		10.1007/s10664-025-10617-1		http://dx.doi.org/10.1007/s10664-025-10617-1		Empirical Software Engineering		openalex error: HTTP Error 400: Bad Request
p62_khare2025_deputydev	no_published_candidate		10.48550/arXiv.2508.09676		https://arxiv.org/abs/2508.09676		arXiv preprint		no candidate
p63_mitropoulos2026_confirmation_bias	candidate_below_threshold	0.545	10.48550/arXiv.2603.18740	10.1145/3774324	https://arxiv.org/abs/2603.18740	https://doi.org/10.1145/3774324	arXiv preprint	ACM Computing Surveys	title=0.40; year=0.04; authors=0.00; published=0.10
p65_ameen2026_qasecclaw	no_published_candidate		10.48550/arXiv.2605.01885		https://arxiv.org/abs/2605.01885		arXiv preprint		no candidate
p66_khan2026_code_review_benchmarks_survey	candidate_below_threshold	0.493	10.48550/arxiv.2602.13377	10.1007/s11704-026-60308-3	https://arxiv.org/abs/2602.13377	https://doi.org/10.1007/s11704-026-60308-3	Open MIND	Frontiers of Computer Science	title=0.28; year=0.04; authors=0.08; published=0.10
p68_li2025_cotdeceptor	no_published_candidate		10.48550/arXiv.2512.21250		https://arxiv.org/abs/2512.21250		arXiv preprint		no candidate
p69_jiang2025_deep_assessment_crg	candidate_below_threshold	0.592	10.48550/arXiv.2501.05176	10.1086/662127	https://arxiv.org/abs/2501.05176	https://doi.org/10.1086/662127	arXiv preprint	Current Anthropology	title=0.54; year=-0.05; authors=0.00; published=0.10
p72_centellas_claros2026_rethinking_training_data_for_g	candidate_below_threshold	0.538		10.1111/j.1460-2466.1996.tb01475.x	https://arxiv.org/abs/2607.25851v1	https://doi.org/10.1111/j.1460-2466.1996.tb01475.x		Journal of Communication	title=0.49; year=-0.05; authors=0.00; published=0.10
p73_gao2026_evaluating_the_impact_of_expla	candidate_below_threshold	0.588		10.1145/3313831.3376590	https://arxiv.org/abs/2607.24601v1	https://doi.org/10.1145/3313831.3376590		arXiv (Cornell University)	title=0.54; year=-0.05; authors=0.00; published=0.10
p74_charoenwet2026_agentic_code_review_in_the_ter	candidate_below_threshold	0.412		10.1109/access.2019.2909530	https://arxiv.org/abs/2607.16740v1	https://doi.org/10.1109/access.2019.2909530		IEEE Access	title=0.36; year=-0.05; authors=0.00; published=0.10
p76_wang2026_swe_review_closing_the_loop_on	candidate_below_threshold	0.508		10.1007/s11704-026-60308-3	https://arxiv.org/abs/2607.06065v1	https://doi.org/10.1007/s11704-026-60308-3		Frontiers of Computer Science	title=0.32; year=0.04; authors=0.04; published=0.10
p77_lin2026_is_agentic_code_review_helpful	no_published_candidate				https://arxiv.org/abs/2607.03316v2				openalex error: HTTP Error 400: Bad Request
p78_melo2026_sevra_bench_social_engineering	no_published_candidate				https://arxiv.org/abs/2606.13757v2				no candidate
p79_sun2026_improving_llm_based_go_code_re	candidate_below_threshold	0.551		10.1145/3770084	https://arxiv.org/abs/2606.01859v1	https://doi.org/10.1145/3770084		ACM Transactions on Software Engineering and Methodology	title=0.41; year=0.04; authors=0.00; published=0.10
p80_bansal2026_philosophical_dispositions_as_	no_published_candidate				https://arxiv.org/abs/2605.23108v1				openalex error: <urlopen error _ssl.c:983: The handshake operation timed out>
p81_karakaya2026_understanding_the_limits_of_au	no_published_candidate				https://arxiv.org/abs/2604.24525v1				openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p83_kumar2026_bigger_isn_t_always_better_a_c	no_published_candidate				https://arxiv.org/abs/2606.15689v1				openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p84_janzen2026_gendered_prompting_and_llm_cod	no_published_candidate				https://arxiv.org/abs/2603.24359v1				openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p85_zhang2026_reporeviewer_a_local_first_mul	no_published_candidate				https://arxiv.org/abs/2603.16107v1				openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p86_crupi2026_studying_quality_improvements_	no_published_candidate				https://arxiv.org/abs/2602.11925v1				openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p87_le_cong2026_patchguru_patch_oracle_inferen	no_published_candidate		10.48550/arxiv.2602.05270		https://arxiv.org/abs/2602.05270v2		Open MIND		openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p88_zhang2026_aacr_bench_evaluating_automati	no_published_candidate		10.48550/arxiv.2601.19494		https://arxiv.org/abs/2601.19494v3		Open MIND		openalex error: <urlopen error [Errno -3] Temporary failure in name resolution>
p89_haider2026_understanding_dominant_themes_	candidate_below_threshold	0.473		10.2196/17158	https://arxiv.org/abs/2601.19287v1	https://doi.org/10.2196/17158		Journal of Medical Internet Research	title=0.42; year=-0.05; authors=0.00; published=0.10
p90_charoenwet2026_agenticscr_an_autonomous_agent	upgraded	1.000	10.48550/arxiv.2601.19138	10.48550/arxiv.2601.19138	https://arxiv.org/abs/2601.19138v1	https://arxiv.org/abs/2601.19138v1	Open MIND	Open MIND	title=1.00; year=0.04; authors=0.10; published=0.10
p91_zhang2026_sphinx_benchmarking_and_modeli	candidate_below_threshold	0.511		10.18653/v1/2025.acl-long.839	https://arxiv.org/abs/2601.04252v1	https://doi.org/10.18653/v1/2025.acl-long.839			title=0.33; year=0.04; authors=0.04; published=0.10
p93_meng2025_when_more_retrieval_hurts_retr	candidate_below_threshold	0.786		10.18653/v1/2024.findings-acl.267	https://arxiv.org/abs/2511.05302v2	https://doi.org/10.18653/v1/2024.findings-acl.267			title=0.60; year=0.04; authors=0.05; published=0.10
p94_li2025_issue_oriented_agent_based_fra	candidate_below_threshold	0.467		10.1080/00461520.2016.1207538	https://arxiv.org/abs/2511.00517v1	https://doi.org/10.1080/00461520.2016.1207538		Educational Psychologist	title=0.42; year=-0.05; authors=0.00; published=0.10
p95_liu2025_securereviewer_enhancing_large	no_published_candidate				https://arxiv.org/abs/2510.26457v1				no candidate
p96_mandal2025_grounded_ai_for_code_review_re	candidate_below_threshold	0.529		10.1371/journal.pdig.0000877	https://arxiv.org/abs/2510.10290v1	https://doi.org/10.1371/journal.pdig.0000877		PLOS Digital Health	title=0.39; year=0.04; authors=0.00; published=0.10
p97_goldman2025_what_types_of_code_review_comm	no_published_candidate				https://arxiv.org/abs/2510.05450v1				openalex error: HTTP Error 400: Bad Request
p98_yu2025_fine_tuning_llms_to_analyze_mu	candidate_below_threshold	0.418		10.48550/arxiv.2401.05561	https://arxiv.org/abs/2509.21170v1	https://www.microsoft.com/en-us/research/publication/trustllm-trustworthiness-in-large-language-models/		arXiv (Cornell University)	title=0.22; year=0.04; authors=0.05; published=0.10
p99_guo2025_codefuse_cr_bench_a_comprehens	no_published_candidate				https://arxiv.org/abs/2509.14856v3				no candidate
p100_sun2025_does_ai_code_review_lead_to_co	no_published_candidate				https://arxiv.org/abs/2508.18771v2				openalex error: HTTP Error 400: Bad Request
p103_wong2025_a_note_on_code_quality_score_l	candidate_below_threshold	0.469		10.1109/access.2025.3533217	https://arxiv.org/abs/2508.02732v1	https://doi.org/10.1109/access.2025.3533217		IEEE Access	title=0.33; year=0.04; authors=0.00; published=0.10
